Title,URL,Start Times
The Dark Side of US Foreign Policy: Mapping Secret American-Backed Coups,https://www.youtube.com/watch?v=_wIOqHSsV9c,"[225.3, 498.75, 1335.72]"
Why UFOs are Suddenly EVERYWHERE,https://www.youtube.com/watch?v=wQSxY7TR6mI,"[1582.59, 1592.52]"
Why Doritos Are SO DAMN GOOD,https://www.youtube.com/watch?v=ue0xQZ_thA4,[464.7]
How Europe Stole Africa (so quickly),https://www.youtube.com/watch?v=LjieOlWXwTw,"[20.82, 99.743, 104.483, 268.11, 269.91, 274.44, 286.32, 295.35, 302.22, 310.74, 340.32, 423.57, 475.41, 479.91, 553.8, 601.26, 610.5, 666.75, 669.54, 755.97, 795.11, 797.91, 977.73, 1063.65, 1205.49, 1229.64, 1523.79, 1525.89, 1687.2]"
"Why Switzerland Has 374,142 Bunkers (and likely more)",https://www.youtube.com/watch?v=9bPIaHg11mI,"[762.21, 777.63]"
What Qatar Doesn't Want the World to See | WORLD CUP 2022,https://www.youtube.com/watch?v=dt_Q03HNbTk,"[37.41, 53.55, 60.18, 62.79, 78.63, 79.86, 979.59, 1033.47, 1133.79, 1144.14, 1183.56, 1187.97]"
How Qatar Bought the World Cup,https://www.youtube.com/watch?v=gHjbay54F4U,[270.6]
What’s Really Happening in the Bermuda Triangle,https://www.youtube.com/watch?v=112H-vY4Wdo,"[540.42, 765.14]"
The REAL Reason Europe Took Over the World,https://www.youtube.com/watch?v=9XECUXXbjhU,"[191.73, 241.08, 584.7, 658.62, 662.52, 670.086, 677.61, 973.47]"
Why North Korea’s Neighbors Aren’t That Scared of Them,https://www.youtube.com/watch?v=Jt7hE12n11s,"[336.6, 340.2, 344.677, 392.49, 1146.48, 1153.05]"
Why I will NEVER use the Metric System,https://www.youtube.com/watch?v=nRnuY1Vao0o,"[58.44, 69.45, 463.89]"
Putin's Land Grab Has Begun - What You Need To Know,https://www.youtube.com/watch?v=_0boi1KQz3c,"[1.451, 6.63, 29.82, 602.07]"
The Biggest Mapping Mistake of 𝗔𝗟𝗟 𝗧𝗜𝗠𝗘,https://www.youtube.com/watch?v=Hcq9_Tw2eTE,"[19.92, 28.5, 34.17, 38.46, 72.45, 81.45, 90.99, 164.373, 189.54, 203.16, 206.284, 219.39, 271.17, 371.64, 398.64, 712.17, 718.794, 776.847, 826.41, 855.895, 863.19, 865.53, 885.36, 891.12, 894.69, 924.57, 998.46, 1019.58, 1022.07, 1043.407, 1046.7, 1052.07, 1064.22, 1066.92, 1095.78, 1139.43, 1148.85, 1152.39, 1161.42, 1163.52, 1176.39, 1180.553, 1189.59, 1197.03, 1207.65, 1223.43, 1228.71, 1260.54, 1316.483]"
The Origins of European Imperialism,https://www.youtube.com/watch?v=vLpSeMlfZ60,"[233.85, 237.33, 248.28, 257.67, 688.5, 694.32, 768.39, 775.62]"
Why China is So Damn Big,https://www.youtube.com/watch?v=OQ2oOp040f0,"[378.51, 660.36]"
The Dark Side of Electric Cars,https://www.youtube.com/watch?v=2_T5DgsO0jc,"[25.5, 28.91, 41.61]"
"Putin Will Lose, Here's Why",https://www.youtube.com/watch?v=FQ4hvLqNfqo,"[437.759, 684.399, 1169.039]"
The REAL Reason Putin is Invading Ukraine,https://www.youtube.com/watch?v=LJNtfyq3TDE,[85.47]
The 3 Strangest Borders on Earth,https://www.youtube.com/watch?v=Fp2PcrRNlGo,"[10.59, 18.686, 20.7, 26.81, 35.505, 82.6, 121.69, 177.52, 375.4, 604.97, 645.951, 754.79, 833.88, 836.513]"
"Why Turkey is Holding this Island Hostage | Cyprus, Uncharted, Ep. 4",https://www.youtube.com/watch?v=NsXwNNcOtX8,[861.67]
"The Border that Cuts this City in Half  | Cyprus, Uncharted Ep. 2",https://www.youtube.com/watch?v=uGqZDpmS08E,"[215.519, 701.76]"
"Returning to a War-Torn Ghost Town Sealed for 50 years | Cyprus, Uncharted Ep. 1",https://www.youtube.com/watch?v=p7_TZagxjyk,"[190.16, 220.21, 293.53, 648.02, 663.57, 905.117, 930.64, 1206.08, 1793.84]"
I’m going back to what I do best,https://www.youtube.com/watch?v=a8pvvlI6tyo,"[534.87, 637.21]"
Control The Choke Point: How The US Stole The Panama Canal,https://www.youtube.com/watch?v=D_PtYPnKBJs,[1031.15]
How The US Stole The Philippines,https://www.youtube.com/watch?v=7fcqhU-23TA,[1063.14]
The Space Border That Could Seal Us on Earth,https://www.youtube.com/watch?v=NY8Rv6PaXVI,[98.67]
The FISH & CHIPS Wars: U.K. vs Iceland,https://www.youtube.com/watch?v=4Lv0xEFtUc0,"[13.19, 598.45]"
"How Nukes Gave Us Godzilla, the Bikini, and so Much More",https://www.youtube.com/watch?v=6j5Rr9hWxz8,"[373.907, 380.02, 385.46, 457.18]"
Am I Happy?: Q&A,https://www.youtube.com/watch?v=djdU9uyi9O4,"[199.97, 835.09, 843.18, 846.572, 858.143, 867.19, 869.13, 872.87, 1052.94, 1056.24, 1058.12, 1062.24]"
"China's Rush Into Africa, Explained.",https://www.youtube.com/watch?v=aJSD8XV3qzE,[236.58]
The Longest Border Fence on Earth (isn’t meant for humans),https://www.youtube.com/watch?v=Zgu2VPtSSvw,"[650.45, 700.64]"
The REAL Reason McDonalds Ice Cream Machines Are Always Broken,https://www.youtube.com/watch?v=SrDEtSlqJC4,"[56.83, 212.84]"
Why the Suez Canal is so Insanely Important.. (and Nukes),https://www.youtube.com/watch?v=9PbgYReEUO8,"[99.6, 102.87]"
"Skid Row, Explained",https://www.youtube.com/watch?v=rKo8Sv99MkM,[302.46]
Why is Russia So DAMN BIG?,https://www.youtube.com/watch?v=HBlZlmXyR5M,[378.46]
How Belgian Imperialism Gave Us The COVID Vaccine,https://www.youtube.com/watch?v=IMY4UOA7E_w,[1.84]
The Fastest Way to Learn a New Language: The Video Game Map Theory,https://www.youtube.com/watch?v=3i1lNJPY-4Q,"[28.13, 119.02, 124.39, 126.28, 129.15, 135.27, 227.41, 357.41, 467.55, 510.46]"
The US Military is EVERYWHERE,https://www.youtube.com/watch?v=-YR2TxHkb4c,"[98.63, 101.62, 242.15, 337.62, 473.07, 480.02, 490.13, 504.27, 530.83, 863.411, 865.75, 871.92, 873.698]"
How China Became So Powerful,https://www.youtube.com/watch?v=qw-FLc7Z01Q,[53.13]
7 things I’ve learned about journalism in 7 years of being a journalist,https://www.youtube.com/watch?v=Rr7povAInwQ,[1001.83]
France Still Has An Empire,https://www.youtube.com/watch?v=xykDDyHDTZY,"[41.63, 304.63, 577.24, 709.15, 808.26, 812.61]"
How I Make My Maps,https://www.youtube.com/watch?v=GsojLuJpe_0,"[8.79, 22.47, 25.42, 43.72, 47.31, 59.43, 78.89, 141.895, 148.03, 151.51, 170.63, 177.71, 191.84, 201.93, 213.12, 215.26, 403.65, 542.24, 749.49, 772.941, 796.39, 798.8, 804.82, 812.06, 824.68, 830.68, 833.9, 838.05, 840.39, 844.85, 850.906, 866.89, 871.03, 885.96, 972.87, 984.62, 985.92, 990.96, 1011.06, 1037.903, 1050.45, 1060.6, 1065.09, 1374.38, 1439.51, 1459.84, 1464.51, 1513.24, 1544.91, 1573.24, 1661.193, 1706.15]"
THE NOSTALGIA THEORY,https://www.youtube.com/watch?v=HvN7GxrRtNA,[740.85]
The US & Canada’s Only Border Dispute Over Land,https://www.youtube.com/watch?v=ROIK9_zh5Ts,"[32.21, 51.21, 72.57, 255.13]"
Why New York City is so Huge,https://www.youtube.com/watch?v=McLgpck2i7A,"[28.97, 38.24, 97.48, 99.15]"
How The U.S. Stole the Middle East,https://www.youtube.com/watch?v=YnOdULpV810,[1184.64]
VOX BORDERS IS CANCELED,https://www.youtube.com/watch?v=wILAAYhKQnY,[236.28]
"You Ask, I Answer | Q&A",https://www.youtube.com/watch?v=iXLfXm0QTkE,"[21.119, 76.32, 84.56, 103.04, 122.24, 213.04, 216.319, 892.32, 909.12, 913.6, 917.36, 924.16]"
How the U.S. Snagged All These Islands,https://www.youtube.com/watch?v=W9KFkBvJcR4,[6.66]
How the U.S. Stole Mexico,https://www.youtube.com/watch?v=3OMmxKiG4LE,"[213.68, 224.86, 230.3, 256.968]"
Why Americans Eat Dessert for Breakfast,https://www.youtube.com/watch?v=kNovwPIWr3Q,[413.126]
How the U.S. Stole an Island,https://www.youtube.com/watch?v=e1EymGBTl-A,"[121.3, 161.62, 212.98]"
How Switzerland Stayed Neutral,https://www.youtube.com/watch?v=YeAxxMZf1O4,[14.81]
"The International Date Line, Explained",https://www.youtube.com/watch?v=aBppb2quqkE,"[70.13, 78.63, 94.23, 341.95, 343.76, 398.59, 606.02, 715.14, 724.65, 726.543, 782.77, 788.893, 804.92, 807.41, 822.88, 853.8]"
How We Mapped the Stars,https://www.youtube.com/watch?v=JWpJjsou99c,"[6.91, 18.369, 25.81, 62.8, 79.73, 185.15, 371.389, 450.479, 552.209, 828.059]"
How to Map a Virus,https://www.youtube.com/watch?v=ZEWbOsRgV70,"[42.49, 108.53, 114.02, 221.81, 244.909, 251.87, 271.789, 295.49, 316.58, 448.43, 493.19]"
The Longest Border in the World,https://www.youtube.com/watch?v=Vvvicd07zCs,"[93.15, 103.99, 300.41, 447.87, 622.253]"
"Why Canada's Mountains Feel Like Switzerland | Banff, Lake Louise, and Sunshine Village",https://www.youtube.com/watch?v=eOa1zbBureI,[657.37]
Why People Think the World is Flat,https://www.youtube.com/watch?v=IwJzsE8CvzQ,"[830.12, 835.87, 841.91]"
The Biggest Project of my Life,https://www.youtube.com/watch?v=8njOx9sFBQc,[316.32]
Why Britain is the Center of the World,https://www.youtube.com/watch?v=g52A2CPEi4A,"[19.01, 23.91, 29.41, 69.33, 178.46, 215.63, 243.39, 249.64, 262.43, 266.98, 361.68, 396.18, 456.46, 485.29, 493.54, 534.86, 773.5]"
How the Dutch Beat the Ocean | Why Amsterdam Has Canals,https://www.youtube.com/watch?v=XoEZvSl5Cg8,"[50.96, 54.27, 123.07]"
Utah's Best Hike,https://www.youtube.com/watch?v=6AeZTFOrmaw,"[89.82, 121.68]"
How to Remember Your Life,https://www.youtube.com/watch?v=GLy4VKeYxD4,[781.52]
I Built My Dream Studio,https://www.youtube.com/watch?v=VzAErq53yZk,"[416.65, 419.92]"
Why Everyone is Going to Iceland Lately,https://www.youtube.com/watch?v=Rb32VopxmlA,[252.49]
How I Got My Job at Vox | Lessons About Getting a Job in Video,https://www.youtube.com/watch?v=hzwfWzGmCnw,"[368.51, 416.57]"
